instituicao;id_municipio;valor_total;valor_gasto_hospital;perc
Prefeitura Municipal de Angical do Piauí - PI;2200608;23358223,33;2020946,89;8,65197177648528e+00
Prefeitura Municipal de Angico - TO;1701051;14406671,30;424568,88;2,94702968617046e+00
Prefeitura Municipal de Angicos - RN;2400802;30691745,44;4829118,99;1,57342598824839e+01
Prefeitura Municipal de Angra dos Reis - RJ;3300100;1229274453,75;217944142,16;1,77294941333194e+01
Prefeitura Municipal de Anguera - BA;2901502;31005145,06;2507478,14;8,08729691523011e+00
Prefeitura Municipal de Angélica - MS;5000856;56837073,29;2271545,26;3,99659083149811e+00
Prefeitura Municipal de Anhanguera - GO;5201207;15325105,61;NA;NA
Prefeitura Municipal de Anhembi - SP;3502309;42178180,04;NA;NA
Prefeitura Municipal de Anhumas - SP;3502408;21477172,44;NA;NA
Prefeitura Municipal de Anicuns - GO;5201306;65613639,95;12338544,97;1,88048475582248e+01
Prefeitura Municipal de Anita Garibaldi - SC;4201000;30167285,65;NA;NA
Prefeitura Municipal de Anitápolis - SC;4201109;18906689,60;1490,00;7,88080849436487e-03
Prefeitura Municipal de Anta Gorda - RS;4300703;29894708,75;2278160,28;7,62061373151862e+00
Prefeitura Municipal de Antas - BA;2901601;48600291,07;186259,20;3,83247087412968e-01
Prefeitura Municipal de Antonina - PR;4101200;75802626,97;3184009,31;4,20039441543381e+00
Prefeitura Municipal de Antonina do Norte - CE;2300804;28137390,83;1967752,07;6,99337078511910e+00
Prefeitura Municipal de Antônio Almeida - PI;2200806;18802075,48;NA;NA
Prefeitura Municipal de Antônio Cardoso - BA;2901700;32773371,15;NA;NA
Prefeitura Municipal de Antônio Carlos - MG;3102902;28384114,37;3253244,35;1,14614967639732e+01
Prefeitura Municipal de Antônio Carlos - SC;4201208;46778293,79;NA;NA
Prefeitura Municipal de Antônio Dias - MG;3103009;48525847,85;NA;NA
Prefeitura Municipal de Antônio Gonçalves - BA;2901809;36105765,38;32354,00;8,96089576262571e-02
Prefeitura Municipal de Antônio João - MS;5000906;46066512,97;9222938,81;2,00209180495304e+01
Prefeitura Municipal de Antônio Martins - RN;2400901;22635115,29;7913862,41;3,49627660765495e+01
Prefeitura Municipal de Antônio Olinto - PR;4101309;23934833,73;1006904,18;4,20685679858282e+00
Prefeitura Municipal de Antônio Prado - RS;4300802;57258704,88;6368638,30;1,11225678494599e+01
Prefeitura Municipal de Antônio Prado de Minas - MG;3103108;14078520,12;104053,59;7,39094657059737e-01
Prefeitura Municipal de Anápolis - GO;5201108;1388601401,93;236033338,62;1,69979187902259e+01
Prefeitura Municipal de Anísio de Abreu - PI;2200707;26893818,83;NA;NA
Prefeitura Municipal de Aparecida - PB;2500775;23272366,14;274913,47;1,18128714693726e+00
Prefeitura Municipal de Aparecida - SP;3502507;128392827,49;2096855,80;1,63315649401312e+00
Prefeitura Municipal de Aparecida d'Oeste - SP;3502606;23953488,86;1786473,49;7,45809305876622e+00
Prefeitura Municipal de Aparecida de Goiânia - GO;5201405;1434405479,83;403260834,28;2,81134476931720e+01
Prefeitura Municipal de Aparecida do Rio Doce - GO;5201454;21609527,52;NA;NA
Prefeitura Municipal de Aparecida do Rio Negro - TO;1701101;20411534,57;206788,75;1,01309751743962e+00
Prefeitura Municipal de Aparecida do Taboado - MS;5001003;108978230,26;11652341,69;1,06923572370370e+01
Prefeitura Municipal de Aperibé - RJ;3300159;64472903,71;1184835,69;1,83772658251815e+00
Prefeitura Municipal de Apiacá - ES;3200508;29683658,13;2289110,62;7,71168637630446e+00
Prefeitura Municipal de Apiacás - MT;5100805;47562134,84;6573685,30;1,38212578600898e+01
Prefeitura Municipal de Apiaí - SP;3502705;76142370,76;5269071,48;6,92002550932918e+00
Prefeitura Municipal de Apicum-Açu - MA;2100832;53489966,69;1968904,64;3,68088589662197e+00
Prefeitura Municipal de Apiúna - SC;4201257;47735929,56;NA;NA
Prefeitura Municipal de Apodi - RN;2401008;69941803,55;6583723,13;9,41314463716028e+00
Prefeitura Municipal de Aporá - BA;2901908;52572084,74;6021224,83;1,14532738425317e+01
Prefeitura Municipal de Aporé - GO;5201504;40678808,28;4060033,70;9,98070954304761e+00
Prefeitura Municipal de Apuarema - BA;2901957;24208117,07;341515,16;1,41074648231615e+00
Prefeitura Municipal de Apucarana - PR;4101408;401695390,04;9275144,74;2,30899954791027e+00
Prefeitura Municipal de Apuiarés - CE;2300903;35966590,69;3472455,82;9,65467049665474e+00
Prefeitura Municipal de Apuí - AM;1300144;49640537,61;2423471,15;4,88204049891634e+00
Prefeitura Municipal de Aquidabã - SE;2800209;61874735,12;958380,89;1,54890503877118e+00
Prefeitura Municipal de Aquidauana - MS;5001102;187440940,10;35752438,44;1,90739752056973e+01
Prefeitura Municipal de Aquiraz - CE;2301000;310632098,98;31386282,22;1,01040048092457e+01
Prefeitura Municipal de Arabutã - SC;4201273;29434427,01;910741,28;3,09413626326270e+00
Prefeitura Municipal de Aracaju - SE;2800308;2231179458,72;324767273,54;1,45558561984214e+01
Prefeitura Municipal de Aracati - CE;2301109;231243379,72;32050587,92;1,38601104856746e+01
Prefeitura Municipal de Aracatu - BA;2902005;41048221,75;1473082,93;3,58866442247282e+00
Prefeitura Municipal de Araci - BA;2902104;125258035,72;8698657,22;6,94459015742898e+00
Prefeitura Municipal de Aracitaba - MG;3103306;12945240,40;274650,50;2,12163305982328e+00
Prefeitura Municipal de Aracoiaba - CE;2301208;92249594,22;19950664,22;2,16268314117686e+01
Prefeitura Municipal de Aracruz - ES;3200607;455835721,55;35650329,96;7,82087236137977e+00
Prefeitura Municipal de Aragarças - GO;5201702;52464724,02;6814098,23;1,29879616395245e+01
Prefeitura Municipal de Aragoiânia - GO;5201801;37200028,49;4517567,95;1,21439905649922e+01
Prefeitura Municipal de Aragominas - TO;1701309;18067220,01;NA;NA
Prefeitura Municipal de Araguacema - TO;1701903;23860422,82;2378856,93;9,96988589827513e+00
Prefeitura Municipal de Araguaiana - MT;5101001;28150873,99;242030,21;8,59760908616820e-01
Prefeitura Municipal de Araguainha - MT;5101209;17269445,88;303424,30;1,75700078687180e+00
Prefeitura Municipal de Araguanã - MA;2100873;50784182,26;1584020,95;3,11912268645044e+00
Prefeitura Municipal de Araguanã - TO;1702158;19184403,93;2286587,71;1,19189927315089e+01
Prefeitura Municipal de Araguapaz - GO;5202155;27019462,28;2021885,71;7,48307160611636e+00
Prefeitura Municipal de Araguari - MG;3103504;377307489,44;72015512,14;1,90866903402542e+01
Prefeitura Municipal de Araguatins - TO;1702208;68372174,21;5825295,69;8,51998017805905e+00
Prefeitura Municipal de Araguaçu - TO;1702000;27244476,16;NA;NA
Prefeitura Municipal de Araguaína - TO;1702109;671995147,07;73424071,25;1,09262799843332e+01
Prefeitura Municipal de Araioses - MA;2100907;75178072,72;1676428,09;2,22994289338041e+00
Prefeitura Municipal de Aral Moreira - MS;5001243;64471192,82;4400641,27;6,82574817916949e+00
Prefeitura Municipal de Aramari - BA;2902203;34659563,96;568736,24;1,64092150915796e+00
Prefeitura Municipal de Arambaré - RS;4300851;22196352,17;NA;NA
Prefeitura Municipal de Arame - MA;2100956;65211042,08;5056089,09;7,75342477091113e+00
Prefeitura Municipal de Aramina - SP;3503000;22505394,95;73840,36;3,28100707248419e-01
